"Portions and Weights
2017-2018 Food and Nutrient Database for Dietary Studies - At A Glance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",,,,,,,,
Food code,Main food description,Subcode,Subcode description,WWEIA Category number,WWEIA Category description,Seq num,Portion description,Portion weight (g)
42301025,"Peanut butter sandwich, with regular peanut butter, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),46
42301025,"Peanut butter sandwich, with regular peanut butter, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,92
42301115,"Peanut butter sandwich, with reduced fat peanut butter, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,92
42301115,"Peanut butter sandwich, with reduced fat peanut butter, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),46
42301115,"Peanut butter sandwich, with reduced fat peanut butter, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,92
42301120,"Peanut butter sandwich, with reduced fat peanut butter, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,92
42301120,"Peanut butter sandwich, with reduced fat peanut butter, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),46
42301120,"Peanut butter sandwich, with reduced fat peanut butter, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,92
42301125,"Peanut butter sandwich, with reduced fat peanut butter, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,92
42301125,"Peanut butter sandwich, with reduced fat peanut butter, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),46
42301125,"Peanut butter sandwich, with reduced fat peanut butter, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,92
42302010,"Peanut butter and jelly sandwich, NFS",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,112
42302010,"Peanut butter and jelly sandwich, NFS",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),56
42302010,"Peanut butter and jelly sandwich, NFS",,,3722,Peanut butter and jelly sandwiches (single code),4,Quantity not specified,112
42302015,"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,112
42302015,"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),56
42302015,"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,112
42302020,"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,112
42302020,"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),56
42302020,"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,112
42302025,"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,112
42302025,"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),56
42302025,"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,112
42302055,"Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,112
42302055,"Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),56
42302055,"Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,112
42302060,"Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,112
42302060,"Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),56
42302060,"Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,112
42302065,"Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,112
42302065,"Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),56
42302065,"Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,112
42302105,"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,112
42302105,"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),56
42302105,"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,112
42302110,"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,112
42302110,"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),56
42302110,"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,112
42302115,"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,112
42302115,"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),56
42302115,"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,112
42302155,"Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,112
42302155,"Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),56
42302155,"Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on white bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,112
42302160,"Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,112
42302160,"Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),56
42302160,"Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,112
42302165,"Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,112
42302165,"Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),56
42302165,"Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on whole wheat bread",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,112
42303100,"Peanut butter and jelly sandwich, frozen commercial product without crusts",,,3722,Peanut butter and jelly sandwiches (single code),1,1 sandwich,60
42303100,"Peanut butter and jelly sandwich, frozen commercial product without crusts",,,3722,Peanut butter and jelly sandwiches (single code),2,1 sandwich (1 slice bread),30
42303100,"Peanut butter and jelly sandwich, frozen commercial product without crusts",,,3722,Peanut butter and jelly sandwiches (single code),3,Quantity not specified,60
42401010,"Coconut milk, used in cooking",,,1404,Milk substitutes,2,Quantity not specified,240
42401010,"Coconut milk, used in cooking",,,1404,Milk substitutes,3,1 fl oz (no ice),30
42401010,"Coconut milk, used in cooking",,,1404,Milk substitutes,4,1 fl oz (with ice),23
42401010,"Coconut milk, used in cooking",,,1404,Milk substitutes,5,1 fl oz (NFS),30
42401100,"Yogurt, coconut milk",,,1820,"Yogurt, regular",1,1 6 oz container,170
42401100,"Yogurt, coconut milk",,,1820,"Yogurt, regular",2,"1 container, NFS",170
42401100,"Yogurt, coconut milk",,,1820,"Yogurt, regular",3,1 cup,245
42401100,"Yogurt, coconut milk",,,1820,"Yogurt, regular",4,Quantity not specified,170
42402010,"Coconut cream, canned, sweetened",,,1404,Milk substitutes,2,Quantity not specified,37
42402010,"Coconut cream, canned, sweetened",,,1404,Milk substitutes,3,1 fl oz (no ice),30
42402010,"Coconut cream, canned, sweetened",,,1404,Milk substitutes,4,1 fl oz (with ice),23
42402010,"Coconut cream, canned, sweetened",,,1404,Milk substitutes,5,1 fl oz (NFS),30
42403010,"Coconut water, unsweetened",,,7204,Fruit drinks,2,1 fl oz (no ice),30
42403010,"Coconut water, unsweetened",,,7204,Fruit drinks,3,1 fl oz (with ice),23
42403010,"Coconut water, unsweetened",,,7204,Fruit drinks,4,1 fl oz (NFS),30
42403010,"Coconut water, unsweetened",,,7204,Fruit drinks,5,1 coconut yields,206
42403010,"Coconut water, unsweetened",,,7204,Fruit drinks,6,Quantity not specified,240
42404010,"Coconut water, sweetened",,,7204,Fruit drinks,2,1 fl oz (no ice),30
42404010,"Coconut water, sweetened",,,7204,Fruit drinks,3,1 fl oz (with ice),23
42404010,"Coconut water, sweetened",,,7204,Fruit drinks,4,1 fl oz (NFS),30
42404010,"Coconut water, sweetened",,,7204,Fruit drinks,5,1 can,360
42404010,"Coconut water, sweetened",,,7204,Fruit drinks,6,"1 bottle, NFS",360
42404010,"Coconut water, sweetened",,,7204,Fruit drinks,7,Quantity not specified,360
42500000,"Trail mix, NFS",,,2804,Nuts and seeds,1,1 cup,140
42500000,"Trail mix, NFS",,,2804,Nuts and seeds,2,1 package,50
42500000,"Trail mix, NFS",,,2804,Nuts and seeds,3,Quantity not specified,28
42500100,Trail mix with nuts,,,2804,Nuts and seeds,1,1 cup,140
42500100,Trail mix with nuts,,,2804,Nuts and seeds,2,1 package,50
42500100,Trail mix with nuts,,,2804,Nuts and seeds,3,Quantity not specified,28
42501000,Trail mix with nuts and fruit,,,2804,Nuts and seeds,1,1 cup,140
42501000,Trail mix with nuts and fruit,,,2804,Nuts and seeds,2,1 package,50
42501000,Trail mix with nuts and fruit,,,2804,Nuts and seeds,3,Quantity not specified,28
42501500,Trail mix with chocolate,,,2804,Nuts and seeds,1,1 cup,140
42501500,Trail mix with chocolate,,,2804,Nuts and seeds,2,1 package,50
42501500,Trail mix with chocolate,,,2804,Nuts and seeds,3,Quantity not specified,28
42502100,"Trail mix with pretzels, cereal, or granola",,,2804,Nuts and seeds,1,1 cup,140
42502100,"Trail mix with pretzels, cereal, or granola",,,2804,Nuts and seeds,2,1 package,50
42502100,"Trail mix with pretzels, cereal, or granola",,,2804,Nuts and seeds,3,Quantity not specified,28
43101050,"Pumpkin seeds, NFS",,,2804,Nuts and seeds,1,"1 cup, without shell",144
43101050,"Pumpkin seeds, NFS",,,2804,Nuts and seeds,2,"1 cup, in shell, yields",46
43101050,"Pumpkin seeds, NFS",,,2804,Nuts and seeds,3,"1 cup, NFS",46
43101050,"Pumpkin seeds, NFS",,,2804,Nuts and seeds,4,"1 oz, without shell",28.35
43101050,"Pumpkin seeds, NFS",,,2804,Nuts and seeds,5,"1 oz, in shell, yields",15
43101050,"Pumpkin seeds, NFS",,,2804,Nuts and seeds,6,"1 oz, NFS",28.35
43101050,"Pumpkin seeds, NFS",,,2804,Nuts and seeds,7,1 package,50
43101050,"Pumpkin seeds, NFS",,,2804,Nuts and seeds,8,Quantity not specified,28
43101100,"Pumpkin seeds, salted",,,2804,Nuts and seeds,1,"1 cup, without shell",144
43101100,"Pumpkin seeds, salted",,,2804,Nuts and seeds,2,"1 cup, in shell, yields",46
